epoch,sol_staked
758,388033516.255381
757,387693922.09762
756,389204286.446143
755,384126951.528617
754,380199248.133849
753,399634546.19904
752,379764181.327269
751,377826776.193038
750,402615445.480876
749,391444129.847404
748,383033033.243501
747,384843291.486959
746,390501997.126406
745,384467440.901009
744,383151547.0816
743,389437481.330483
742,390219864.620544
741,388756845.452538
740,403089035.029734
739,387925956.707214
738,388063761.53373
737,386813511.57589
736,389042650.217804
735,388855123.493713
734,387765120.997056
733,387317263.663619
732,386831520.235422
731,385117450.232387
730,387493929.230126
729,379416004.958704
728,386510840.464753
727,389413249.706791
726,408138512.025246
725,394044889.932098
724,397434390.945116
723,389182530.455107
722,390078978.792142
721,388730826.599213
720,388164184.295318
719,391776567.804702
718,390847465.610738
717,410407014.381078
716,389784565.259532
715,390526005.495731
714,390499701.314758
713,390316001.629565
712,394033341.461494
711,391597034.602325
710,403479649.309485
709,391654175.361831
708,388778944.603123
707,387490012.475306
706,388796028.894219
705,388911258.420336
704,388904725.82587
703,389301313.209061
702,387462639.653391
701,386423581.55345
700,384902325.34454
699,390052246.664328
698,393930645.785863
697,396653950.162274
696,408344102.910999
695,397419403.704897
694,398275253.255911
693,402189996.979667
692,397222953.692498
691,398018870.837082
690,397968567.562656
689,395222909.844517
688,394444374.08701
687,414834332.125406
686,393862320.74094
685,393783785.368507
684,398106513.993535
683,392929920.29881
682,391904566.867482
681,391573441.043488
680,393364021.409011
679,396587531.348952
678,392424498.89141
677,387221803.69213
676,386191605.874043
675,387207366.510913
674,386110170.649805
673,395666805.254954
672,385790079.487576
671,409143806.490296
670,387958859.444814
669,384073669.945941
668,383361784.286009
667,383239136.321828
666,383457701.64224
665,383420670.658616
664,403894047.690818
663,401808437.142503
662,379129464.361038
661,377002316.459527
660,385773448.239195
659,381896443.613607
658,405281383.049275
657,381368653.786287
656,379687679.303203
655,403174015.512544
654,380205482.957256
653,380866839.275903
652,380701713.608913
651,405515243.358944
650,379287994.860312
649,383804688.575569
648,382084585.546404
647,402211673.26414
646,382494141.420992
645,380943538.704374
644,382280754.341051
643,382174081.009478
642,380078831.780757
641,378340514.999484
640,401228553.552064
639,381362191.842204
638,380325212.568156
637,380685226.671446
636,386832697.755849
635,379000963.47872
634,378461887.292157
633,403556438.679225
632,377040420.138942
631,381025788.699268
630,374075846.849324
629,375218351.578584
628,375102543.105296
627,372383559.739203
626,371164186.396131
625,371549780.391677
624,365616600.657592
623,365329442.099231
622,363917802.717327
620,363055155.333543
619,365511389.852948
618,366310236.969525
617,369378927.668189
616,368319077.477241
615,371006216.906373
614,382709964.879949
613,386285950.275809
612,365626615.453501
611,367794645.605777
610,384540923.306617
609,375156139.602328
608,369213998.556622
607,372743854.619516
606,371804596.994086
605,372353074.569849
604,406307645.24617
603,375660154.524493
602,388829901.828347
601,388562942.002272
600,377025822.227804
599,380222750.707945
598,378246534.686862
597,369871647.689987
596,370043757.129411
595,360253743.79266
594,369557946.08713
593,374669745.026733
592,373783919.970353
591,366085108.389336
590,368288328.832869
589,370531348.893705
588,375696932.656783
587,373235595.868439
586,371107760.953499
585,372782565.962665
584,376252437.990496
583,378956494.914605
582,383733689.490805
581,384126387.306649
580,387796250.25108
579,389237456.517602
578,389461857.774526
577,386230074.110176
576,383170371.091241
575,382358870.022435
574,385926698.427456
573,382828144.009786
572,382673842.13914
571,382505293.191077
570,387252876.315125
569,387506040.741091
568,388526168.525859
567,387094530.96584
566,389674639.01181
565,388603191.671614
564,383103926.60856
563,382672161.404434
562,387570376.460254
561,388112003.867506
560,385564152.834626
559,384577752.056487
558,393668303.64088
557,384381274.839989
556,380824229.229631
555,379932746.871662
554,383353053.901974
553,386259213.496318
552,386621486.968041
551,388724213.629735
550,388315763.616987
549,392080931.02304
548,398314312.396961
547,395801312.353609
545,396273593.266679
544,396243127.002322
543,395265889.413232
542,393331846.664915
541,394913490.55772
540,395267294.378348
539,395244216.498594
538,400622338.702809
537,400012467.105254
536,398805242.46039
535,396881126.280103
534,394567520.22918
533,393922266.55784
532,397659605.083486
531,400523012.427349
530,403612463.793981
529,401070963.060985
528,401521564.973366
527,401809800.071871
526,401479245.023812
525,406144226.399142
524,405541203.207456
523,406277954.59499
522,405597253.233108
521,402043973.605198
520,400036190.653545
519,400257493.747509
518,403610405.135272
517,403695526.55815
516,400003748.651521
515,393917160.886778
514,388990253.008524
513,389139153.497987
512,383338875.846093
511,401239763.625694
510,399937082.707486
509,401141513.259346
508,401083065.873407
507,398624612.119566
506,400355346.873908
505,397544028.768868
504,397061847.590124
503,396505035.007094
502,396082791.97038
501,394631962.305637
500,396340149.539665
499,396296591.97233
498,395414347.946189
497,395388712.5782
496,395138590.258686
495,395520077.736832
494,395574594.476761
493,395377737.395312
492,395119376.678532
491,394959208.936183
490,393504467.856537
489,393633337.597626
488,394262660.334074
487,393883466.850564
486,391558940.499035
485,392185594.15738
484,392210266.510424
483,391171329.331846
482,385532411.683397
481,385317519.373893
480,383332151.395637
479,385496149.481674
478,385447661.722378
477,387814714.687675
476,388735532.029097
475,388613951.547685
474,389357476.551513
473,389503529.106235
472,390238833.114173
471,389480350.360129
470,387907737.371085
469,388545532.6935
468,389066979.599601
467,388491317.681321
466,388756256.16326
465,388484355.282675
464,389046958.577624
463,388360122.196272
462,388332689.140869
461,386949223.838247
460,388751194.024704
459,388074022.978119
458,387836092.371567
457,388332995.06769
456,387594606.200293
455,386796587.232727
454,393253913.451515
453,393316812.300155
452,392439630.03546
451,393191269.526955
450,392786461.853721
449,392339976.014908
448,392029437.768353
447,391960133.46254
446,392561154.869615
445,393446955.907301
444,392007463.252228
443,393888792.876477
442,394260236.730526
441,395007084.563188
440,395742151.400608
439,396649780.912783
438,396036808.549491
437,393264701.647717
436,393672556.454795
435,393872136.387148
434,391572484.684269
433,395615779.391985
432,397618694.429105
431,397151323.438686
430,395979578.579847
429,397821736.854449
428,387256664.661833
427,385189593.813421
426,385980966.450264
425,385670621.162819
424,385671653.963181
423,386387099.521888
422,385199924.062962
421,386157948.842875
420,385545781.702953
419,384256249.292957
418,383373387.618789
417,387907692.193441
416,393104004.675251
415,391874577.481403
414,393453878.832991
413,391723037.741811
412,380485021.812639
411,381046508.39205
410,380033345.304981
409,380060451.523171
408,378149775.92402
407,377202985.968787
406,377852366.590812
405,379343214.099087
404,374305834.456331
403,374360414.435922
402,378329839.345781
401,380641224.923981
400,378453312.657535
399,385016606.925345
398,384757654.26749
397,385610680.88724
395,384270199.91632
394,382587862.070575
393,383492615.4825
392,384065555.263702
391,377077624.686825
390,377517141.917642
389,365371000.482416
388,367870146.173863
387,367013198.822429
386,375516600.334652
385,375672358.276356
384,374018700.17152
383,368885457.353671
382,364379569.132002
381,367714652.053357
380,357754970.745752
379,360635544.236695
378,358547987.859643
377,362600829.28649
376,371159764.330634
375,366934892.242722
374,363115325.875507
373,371955225.010678
372,373571430.969233
371,378714318.034878
370,354566223.903125
369,410853775.751532
368,382072176.440177
367,409915941.435094
366,409518908.609339
365,408502428.486018
364,408900820.060555
363,408304406.216053
362,408334402.28729
361,408243630.842712
360,408753254.579542
359,408566680.214409
358,405742643.408394
357,405600337.677217
356,407678421.869792
355,406442669.427175
354,407486069.325277
353,406400174.347775
352,404661328.220508
351,398693163.529273
350,399342646.06298
349,400873417.492827
348,406110401.425638
347,407863965.271175
346,406180168.923894
345,405452553.454096
344,405099141.692041
343,405530991.393571
342,405429995.942095
341,400623346.106122
340,401192198.489204
339,402679969.737403
338,391581502.303171
336,401430237.425047
334,399094810.139877
333,395284329.375873
332,394200830.242552
